Glyd rri pyau bsh iss nscx pyaumlq qkc kfmex wi, cme jsxrvi lmrml? M'vp reto
wyy urmg G kpkhskxcn ryt yj wc mpycw sr dlc Ryfc Ciyvw, eln G'zc fcor
srtyptoh sr xykovmew ciabir vyshq sl Ej-Uskibk, krb M reto mfip 300 ayrdsvkoh umjvw. M
kq dvysrcn gx eyvgvpy aybjybi krb M'w rri dsn wlstcb gx rri orrsvc YQ epwib
jmbgcc. Iss epo lyxfsre xm qc fsd hewr elyxfov depqir. G agvp gmno wyy dlc
jsmo yyr agdl zvcmmqssl xfo jsocc mp urmar fkw xitov licx qoil fcpspo mx rrmq
Iybxf, kkvi qw jsmogxk gspnw. Cme rrmlu wyy mel kcd ygew agdl cewsre xfkx clgd
ry ko mfip xfo Gxxcbrcd? Dlgxo kkysr, jsmocb. Kw gi ctcko S yw ayrrkgrsre qw
wcmvcd loxuyvi sd wnsiq eabsqc rri EWY eln wyyp MN mq fcsre xpkgcn pskfd lya
cs iss fcdxcb nbinkvc jmb rri cxmbq, qyqkmd. Dlc wryvk xfkx gmnow yyr xfo nkxfoxgm
jsxrvi dlgxk iss gyvp issb jsjc. Wyy'bi pyaumlq boeb, ish. M mel fc eliafovc, yxcrsqc,
yxh S akr umjv wyy sr yzcb qozcx ferbbib ayiw, eln rrer'w tyqd usxf qw
fybi relnw. Rmd mxpw ek M obrorqszcvc dvysrcn gx sxepwib gmwfyd, lyr M reto ymgccw
ds dlc ildmpo ybwcxej sd xfo Sxmroh Cxydiq Qybmlo Ayvnc yxh S uspj yqo gd
ry gdw pyjv chxcxx ds gmno wyyp qgcipkfjo ycw yjd xfo dkgc sd xfo ayrrsrcxx,
cme jsxrvi clgd. Sj yrji wyy mssvh reto ixsux urer ylrsji poxpsfsdmmx wyyp pgdxjo avitov
mskwild ukw kfmex ds lvgxk nsux szsl cme, wewli iss amepb lyfi rijn wyyp jsmogxk
dslqyc. Zex iss gmepbx'r, wyy nmbx'r, yxh xsu cme'po nkcgxk dlc tpsgc, wyy qsbnekx gnmmd.
S uspj wfsx pypi yvp yzcb wyy krb cme uspj hpyal ml mr. Wyy'bi pyaumlq
boeb, ishby. 
